N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.8272473613975494,0.7908526149158561,0.778851784934524,0.19391408114558473,0.6000028031968948,0.2723270346598116
model_2,500,2,1,0.807715637510615,0.7630622158653164,0.775405998215817,0.2732696897374702,0.3746585238734653,0.2821451710120152
model_3,500,3,1,0.8209389785272352,0.7554093343689263,0.7837830203065056,0.27804295942720764,0.33787755492479066,0.2965933881914725
model_4,500,1,2,0.8596384811355089,0.8412410640810827,0.837238159981232,0.39200477326968974,0.6743555498231284,0.4777734317704882
model_5,500,2,2,0.8630353026810628,0.8719179884715984,0.8654054246568907,0.6193317422434368,0.5909522710649299,0.5953098350743046
model_6,500,3,2,0.8752881232560961,0.8704470505033284,0.8557116957923436,0.42183770883054894,0.8276672644632643,0.5529556813112703
model_7,800,1,2,0.864855028509038,0.8568768893208774,0.8436382573571901,0.4337708830548926,0.7274514771695777,0.5034653920775283
model_8,800,2,2,0.8857212180031542,0.8797741057353229,0.8810247857729776,0.6241050119331742,0.6771118482527299,0.6425931680565142
model_9,800,3,2,0.8980953536333859,0.891499036327313,0.8872639983559821,0.5483293556085919,0.8183694825084188,0.6524522643612768
