N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.8705568361033604,0.8713095279840924,0.8663342289188267,0.5710023866348448,0.5949348719283309,0.5603774423609927
model_2,500,2,1,0.843746208904525,0.8585934182166045,0.8485153938272357,0.5996420047732697,0.5039077376734181,0.5406786744134658
model_3,500,3,1,0.8100206235593838,0.8243848354162784,0.8043509879680093,0.4588305489260143,0.37189841792824735,0.35387884964740496
model_4,500,1,2,0.9005216547373529,0.9052484676020709,0.8991045413953443,0.6730310262529833,0.7002780662530773,0.6680620407453056
model_5,500,2,2,0.8916656557078734,0.9131934029981439,0.8991557676448819,0.8084725536992841,0.6574776698055671,0.7213257950824065
model_6,500,3,2,0.8999150794613612,0.908812568423223,0.9025479823915553,0.7822195704057279,0.6697426838030054,0.7186899646741584
model_7,800,1,2,0.908892393546039,0.9053511330309374,0.904234166557014,0.6772076372315036,0.7127555539933985,0.6809658500923769
model_8,800,2,2,0.8899672449350965,0.914999007766333,0.8979443551433072,0.8335322195704057,0.646825769938419,0.7243445064109247
model_9,800,3,2,0.8892393546039064,0.9088606898217625,0.8950539336458362,0.8007159904534606,0.652483079053109,0.7109980391182902
